label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.EEM.avg,exposure.EEM.min,exposure.EFA.avg,exposure.EFA.min,exposure.IEF.avg,exposure.IEF.min,exposure.LQD.avg,exposure.LQD.min,exposure.SHY.avg,exposure.SHY.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00101163,0.00814187,0.00107996,0.00814313,152237.68243105,97500.00000000,54737.68243105,0.56141213,0.06175826,0.05313557,0.60764389,0.10860226,0.85298717,0.30467975,-0.20269893,1621,2012,0.22745270,2022,-0.12102932,16998134.99358172,1781.44911310,7.80447790,0.01827127,0.00000000,0.00000000,0.18173304,0.00000000,0.07947749,0.00000000,0.13621632,0.00000000,0.16462596,0.00000000,0.28954053,0.00000000,0.14732670,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00123284,0.00748667,0.00127429,0.00756878,214514.84831576,97500.00000000,117014.84831576,1.20015229,0.08318665,0.09192404,0.79398895,0.10830696,1.11889510,0.51437504,-0.16172372,1335,2020,0.19314006,2015,-0.06352443,10518989.23412200,1103.25756483,4.39200380,0.01131546,0.00000000,0.00000000,0.18176133,0.00000000,0.03406589,0.00000000,0.14177360,0.00000000,0.15887354,0.00000000,0.27255518,0.00000000,0.20969618,0.00000000
SPY25/EFA25/EEM25/AGG25,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00420052,0.01692793,0.00251033,0.00773457,194858.01132007,97500.00000000,97358.01132007,0.99854371,0.07597416,0.08119309,0.64610929,0.12594683,0.90228740,0.29590149,-0.25675491,208,2025,0.21801487,2022,-0.16430118,258086.06397536,24.08697727,0.11512326,0.00024705,0.24901564,0.24338176,0.24964099,0.24710291,0.24950741,0.24748038,,,,,,,0.24763424,0.24226543
SPY60/AGG40,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00287809,0.01398803,0.00216615,0.00784154,218679.30034456,97500.00000000,121179.30034456,1.24286462,0.09426728,0.09405963,0.94118936,0.10144465,1.32770855,0.43641913,-0.21600171,152,2019,0.21474260,2022,-0.15989938,255935.67929349,21.97246082,0.09858285,0.00022536,0.39905573,0.39261535,,,,,,,,,,,0.59806518,0.59215846
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,,,,,,,,,0.99834187,0.99112465
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00105902,0.00814187,0.00112731,0.00814313,101605.14380492,75500.00000000,26105.14380492,0.34576349,0.06146638,0.04670907,0.68025502,0.09431866,0.96842165,0.33316113,-0.18449447,,2012,0.22745270,2022,-0.12085313,9941051.81386017,1073.39176197,7.75104477,0.01421711,0.00000000,0.00000000,0.15142600,0.00000000,0.08325382,0.00000000,0.16647790,0.00000000,0.18921628,0.00000000,0.27247275,0.00000000,0.13602593,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00139705,0.00748667,0.00143921,0.00756878,118766.87588450,75500.00000000,43266.87588450,0.57307120,0.06885295,0.07063148,0.80378978,0.08771666,1.12529083,0.48121170,-0.14308245,732,2020,0.19314006,2015,-0.06352443,5923539.83225175,639.57413362,4.54240568,0.00847118,0.00000000,0.00000000,0.14387839,0.00000000,0.01513104,0.00000000,0.18903146,0.00000000,0.18912374,0.00000000,0.28010175,0.00000000,0.18129441,0.00000000
SPY25/EFA25/EEM25/AGG25,fit,fit,2012-01-03,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00466550,0.01692793,0.00265148,0.00773457,97980.74785315,75500.00000000,22480.74785315,0.29775825,0.05125984,0.04108668,0.45233334,0.12913860,0.62102264,0.19964504,-0.25675491,208,2017,0.20946828,2022,-0.16430025,160967.60655824,15.03661919,0.13127791,0.00019916,0.24879398,0.24338176,0.24957631,0.24710291,0.24942680,0.24748038,,,,,,,0.24753603,0.24226543
SPY60/AGG40,fit,fit,2012-01-03,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00320658,0.01398803,0.00234504,0.00784154,116882.50989644,75500.00000000,41382.50989644,0.54811271,0.07841074,0.06819615,0.78381157,0.10322534,1.08600233,0.36300981,-0.21600171,152,2019,0.21474260,2022,-0.15989758,166093.05426057,14.22208790,0.11992011,0.00018837,0.39883244,0.39261535,,,,,,,,,,,0.59795982,0.59215846
SPY benchmark,fit,fit,2012-01-03,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00181713,0.00887397,0.00181778,0.00887535,155037.99589010,75500.00000000,79537.99589010,1.05348339,0.12272174,0.11077065,0.76728635,0.16992121,1.07071696,0.36376365,-0.33736669,173,2013,0.31819168,2022,-0.18365528,75481.94120423,5.28373588,0.04442562,0.00006998,,,,,,,,,,,,,0.99818222,0.99112465
