label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.EEM.avg,exposure.EEM.min,exposure.EFA.avg,exposure.EFA.min,exposure.IEF.avg,exposure.IEF.min,exposure.LQD.avg,exposure.LQD.min,exposure.SHY.avg,exposure.SHY.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),full,full,2004-10-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00038552,0.00259189,0.00044905,0.00269008,379490.91638437,141000.00000000,238490.91638437,1.69142494,0.10096183,0.07703881,0.78198526,0.13490387,1.12558567,0.46672376,-0.21632032,904,2006,0.33978478,2022,-0.12110998,60380220.03595354,6292.61086461,7.73079427,0.04462845,0.00000000,0.00000000,0.24327096,0.00000000,0.07601484,0.00000000,0.17481748,0.00000000,0.13302193,0.00000000,0.25464641,0.00000000,0.11777932,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),full,full,2004-10-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00041363,0.00201205,0.00045167,0.00201287,454597.49910433,141000.00000000,313597.49910433,2.22409574,0.10315192,0.09000341,0.74490845,0.14650340,1.05253234,0.46549642,-0.22159551,1065,2006,0.34777962,2015,-0.06358408,30281893.85592704,3161.14177239,4.40042583,0.02241945,0.00000000,0.00000000,0.28509882,0.00000000,0.05320354,0.00000000,0.17862692,0.00000000,0.11021106,0.00000000,0.21664253,0.00000000,0.15576547,0.00000000
SPY25/EFA25/EEM25/AGG25,full,full,2004-10-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00230875,0.01320738,0.00131907,0.00751555,358099.52546963,141000.00000000,217099.52546963,1.53971295,0.07185096,0.07282291,0.51948300,0.15779206,0.73716847,0.15082999,-0.47637049,1875,2009,0.29715162,2008,-0.32090207,614280.10823950,57.38045943,0.11194674,0.00040695,0.24946605,0.24584860,0.24977655,0.24887437,0.24967300,0.24777471,,,,,,,0.24877449,0.24248445
SPY60/AGG40,full,full,2004-10-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00153442,0.00723202,0.00110809,0.00461613,424262.78485117,141000.00000000,283262.78485117,2.00895592,0.07681621,0.08507189,0.71225581,0.11309735,1.00866061,0.21280248,-0.36097422,1184,2019,0.21509590,2008,-0.21447040,602117.99542119,51.48204062,0.09449174,0.00036512,0.39940991,0.39538387,,,,,,,,,,,0.59905475,0.59565460
SPY benchmark,full,full,2004-10-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00095630,0.00712292,0.00095670,0.00712454,740133.80489526,141000.00000000,599133.80489526,4.24917592,0.10793480,0.12406259,0.63988465,0.18821523,0.90385245,0.19503618,-0.55340911,1794,2013,0.31894086,2008,-0.36988838,140738.11974310,9.85166838,0.01627266,0.00006987,,,,,,,,,,,,,0.99904330,0.99287546
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),fit,fit,2004-10-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00040667,0.00259189,0.00046919,0.00269008,283638.53444008,119000.00000000,164638.53444008,1.38351710,0.10878655,0.08137437,0.84309120,0.13312122,1.22627880,0.50289568,-0.21632032,904,2006,0.33978478,2022,-0.12093406,41770746.54942877,4423.03609083,7.63452013,0.03716837,0.00000000,0.00000000,0.23736049,0.00000000,0.07759279,0.00000000,0.20081101,0.00000000,0.14149093,0.00000000,0.23733543,0.00000000,0.10494015,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),fit,fit,2004-10-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00041790,0.00201205,0.00045567,0.00201287,273710.11101564,119000.00000000,154710.11101564,1.30008497,0.09834435,0.07822376,0.72101565,0.14479955,1.01796317,0.44380120,-0.22159551,1065,2006,0.34777962,2015,-0.06358408,20108856.75254217,2132.58879718,4.47341323,0.01792091,0.00000000,0.00000000,0.28302272,0.00000000,0.04563202,0.00000000,0.21451543,0.00000000,0.11866234,0.00000000,0.20995233,0.00000000,0.12775949,0.00000000
SPY25/EFA25/EEM25/AGG25,fit,fit,2004-10-01,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00245926,0.01320738,0.00135832,0.00751555,194530.91024180,119000.00000000,75530.91024180,0.63471353,0.05607140,0.04735729,0.41360303,0.16486814,0.58399837,0.11770544,-0.47637049,1875,2009,0.29715162,2008,-0.32090207,429359.83103726,40.20436081,0.12038469,0.00033785,0.24939948,0.24584860,0.24974833,0.24887437,0.24963769,0.24777471,,,,,,,0.24875399,0.24248445
SPY60/AGG40,fit,fit,2004-10-01,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00164646,0.00723202,0.00116306,0.00461613,242788.53635650,119000.00000000,123788.53635650,1.04023980,0.06393057,0.06753413,0.59193926,0.11619363,0.83138843,0.17710565,-0.36097422,1184,2019,0.21509590,2008,-0.21447040,421067.38918690,35.98509564,0.10629252,0.00030240,0.39932056,0.39538387,,,,,,,,,,,0.59903197,0.59565460
SPY benchmark,fit,fit,2004-10-01,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00103654,0.00712292,0.00103702,0.00712454,341689.55069091,119000.00000000,222689.55069091,1.87134076,0.08659376,0.09766321,0.52417975,0.19484711,0.73530613,0.15647333,-0.55340911,1794,2013,0.31894086,2008,-0.36988838,118987.00526771,8.32909037,0.02473422,0.00006999,,,,,,,,,,,,,0.99896298,0.99287546
