label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,params.canary.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.BIL.avg,exposure.BIL.min,exposure.BND.avg,exposure.BND.min,exposure.DBC.avg,exposure.DBC.min,exposure.IEF.avg,exposure.IEF.min,exposure.LQD.avg,exposure.LQD.min,exposure.QQQ.avg,exposure.QQQ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TIP.avg,exposure.TIP.min,exposure.TLT.avg,exposure.TLT.min,exposure.VEA.avg,exposure.VEA.min,exposure.VWO.avg,exposure.VWO.min
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,13612W,0.00116958,0.01176237,0.00086091,0.00626947,272897.97536992,118000.00000000,154897.97536992,1.31269471,0.08760709,0.07952781,0.70832108,0.13095485,0.99714769,0.43708270,-0.20043596,,2020,0.27382196,2025,-0.11753801,29563823.60724160,3964.32546463,6.30414458,0.03359598,0.03065110,0.00000000,0.18728786,0.00000000,0.02301767,0.00000000,0.07523382,0.00000000,0.07809598,0.00000000,0.06286273,0.00000000,0.26705312,0.00000000,,,0.05365050,0.00000000,0.07350952,0.00000000,0.06909562,0.00000000,0.07830448,0.00000000
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,1-3-6-12U,0.00134757,0.01176237,0.00097567,0.00626947,310874.40949764,118000.00000000,192874.40949764,1.63452889,0.08496746,0.09111003,0.65707683,0.13916436,0.91479499,0.41324958,-0.20560811,181,2020,0.26384326,2011,-0.04458899,21460638.75228359,2917.93507512,4.87488675,0.02472826,0.02909768,0.00000000,0.19035392,0.00000000,0.00000000,0.00000000,0.06602550,0.00000000,0.07807631,0.00000000,0.05363325,0.00000000,0.29923972,0.00000000,,,0.04289704,0.00000000,0.07347465,0.00000000,0.07370071,0.00000000,0.09209820,0.00000000
ROT QQQ+VWO+VEA+BND top1 1-3-6-12U all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,13612W,0.00114991,0.01176237,0.00086408,0.00626947,293180.05282137,118000.00000000,175180.05282137,1.48457672,0.09756641,0.08591879,0.75516549,0.13576979,1.07866799,0.48951031,-0.19931431,436,2009,0.37167744,2025,-0.06301816,30801898.85815058,4164.83646436,6.36739264,0.03529522,0.03065025,0.00000000,0.17193456,0.00000000,0.01381981,0.00000000,0.08137254,0.00000000,0.07814472,0.00000000,0.06440411,0.00000000,0.26702822,0.00000000,,,0.05209548,0.00000000,0.08271290,0.00000000,0.06909941,0.00000000,0.08751816,0.00000000
ROT QQQ+VWO+VEA+BND top1 1-3-6-12U all can SPY+VEA+VWO+BND/1 fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,1-3-6-12U,0.00125869,0.01176237,0.00089675,0.00626947,334913.05496581,118000.00000000,216913.05496581,1.83824623,0.09094358,0.09766815,0.69253916,0.14019868,0.96545573,0.44208269,-0.20571623,181,2020,0.26372903,2013,-0.01785297,21169825.18402598,2849.00434992,4.65879440,0.02414410,0.02602792,0.00000000,0.17345898,0.00000000,0.00000000,0.00000000,0.07063869,0.00000000,0.08115257,0.00000000,0.05670728,0.00000000,0.30849737,0.00000000,,,0.04291304,0.00000000,0.08268001,0.00000000,0.06910135,0.00000000,0.08751110,0.00000000
QQQ25/VWO25/VEA25/BND25,full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00197047,0.00841524,0.00108420,0.00460156,304825.99920623,118000.00000000,186825.99920623,1.58327118,0.07798676,0.08937271,0.54789965,0.16105454,0.77431581,0.19849344,-0.39289340,467,2009,0.38408463,2008,-0.27051946,484735.05593077,70.93383982,0.12242632,0.00060113,,,,,0.24944948,0.24539844,,,,,,,0.24908393,0.24707895,,,,,,,0.24974462,0.24811641,0.24974944,0.24821264
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00108716,0.00577868,0.00110787,0.00578100,467146.99224891,118000.00000000,349146.99224891,2.95887282,0.11582386,0.12651009,0.97629661,0.11989490,1.37381938,0.58175195,-0.19909492,690,2021,0.28440292,2011,-0.00690719,13849011.78206380,1188.12177337,2.63541148,0.01006883,,,0.20727625,0.00000000,,,,,0.14266142,0.00000000,,,,,0.64895446,0.00000000,,,,,,,,
SPY benchmark,full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00118567,0.00889012,0.00118613,0.00889171,543905.09344089,118000.00000000,425905.09344089,3.60936520,0.12213318,0.13949487,0.68480703,0.19701936,0.96815068,0.25929511,-0.47101999,858,2013,0.31890063,2008,-0.27440154,117747.67921777,8.24233755,0.01981675,0.00006985,,,,,,,,,,,,,,,0.99881387,0.99110829,,,,,,,,
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2008-08-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,13612W,0.00134037,0.01176237,0.00094002,0.00626947,238213.88142626,96000.00000000,142213.88142626,1.48139460,0.10735922,0.10679713,0.86679421,0.12709440,1.23313734,0.68606723,-0.15648499,216,2020,0.27382196,2015,-0.02900312,14265231.65489750,1986.81291841,4.95036513,0.02069597,0.03266876,0.00000000,0.15980280,0.00000000,0.02887188,0.00000000,0.08473689,0.00000000,0.09410676,0.00000000,0.06922300,0.00000000,0.24257842,0.00000000,,,0.06151983,0.00000000,0.09220558,0.00000000,0.04621861,0.00000000,0.08666492,0.00000000
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2008-08-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,1-3-6-12U,0.00153673,0.01176237,0.00105567,0.00626947,224331.51668449,96000.00000000,128331.51668449,1.33678663,0.08940187,0.10006688,0.70481130,0.13446898,0.98084046,0.43481685,-0.20560811,181,2020,0.26384326,2011,-0.04458899,10067060.21377704,1412.47543235,3.94945245,0.01471329,0.03457152,0.00000000,0.17519989,0.00000000,0.00000000,0.00000000,0.07511518,0.00000000,0.09600718,0.00000000,0.06342334,0.00000000,0.26564963,0.00000000,,,0.05188118,0.00000000,0.09216184,0.00000000,0.04043579,0.00000000,0.10396548,0.00000000
ROT QQQ+VWO+VEA+BND top1 1-3-6-12U all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2008-08-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,13612W,0.00128932,0.01176237,0.00091609,0.00626947,245915.41354436,96000.00000000,149915.41354436,1.56161889,0.11675687,0.11035130,0.89807680,0.13291852,1.30033006,0.82564776,-0.14141245,323,2009,0.37167744,2015,-0.03373127,15538522.12230272,2169.62503706,5.24080117,0.02260026,0.03266745,0.00000000,0.14439484,0.00000000,0.01733467,0.00000000,0.08473597,0.00000000,0.09416827,0.00000000,0.07500791,0.00000000,0.23679675,0.00000000,,,0.06149338,0.00000000,0.10182293,0.00000000,0.05200239,0.00000000,0.09822107,0.00000000
