label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.k,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.DBC.avg,exposure.DBC.min,exposure.IEF.avg,exposure.IEF.min,exposure.IWM.avg,exposure.IWM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TLT.avg,exposure.TLT.min,exposure.VEA.avg,exposure.VEA.min,exposure.VNQ.avg,exposure.VNQ.min,exposure.VWO.avg,exposure.VWO.min
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top3 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,3,1-3-6-12U,0.00149455,0.00973503,0.00104030,0.00475935,338973.32971366,118000.00000000,220973.32971366,1.87265534,0.09855597,0.09872522,0.84526896,0.11997707,1.20758796,0.49596450,-0.19871577,283,2020,0.24412676,2015,-0.05798892,17381187.85574404,2204.84070137,4.00459733,0.01868509,0.19958576,0.00000000,0.05065245,0.00000000,0.13954111,0.00000000,0.11189894,0.00000000,0.13011950,0.00000000,0.07505514,0.00000000,0.07214769,0.00000000,0.12276806,0.00000000,0.09669596,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top3 13612W can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,3,13612W,0.00152044,0.00825090,0.00111580,0.00571212,234737.11591950,118000.00000000,116737.11591950,0.98929759,0.07033906,0.06593844,0.62098230,0.12161448,0.89080360,0.27514754,-0.25564124,1261,2009,0.29495670,2024,-0.10333645,24167658.85830178,3084.52720194,6.46782999,0.02614006,0.25633754,0.00000000,0.05218988,0.00000000,0.12728829,0.00000000,0.10573387,0.00000000,0.11164859,0.00000000,0.06435700,0.00000000,0.07982728,0.00000000,0.10125884,0.00000000,0.09976848,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top3 12M can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,3,12M,0.00181109,0.00973503,0.00125257,0.00475935,273696.82160307,118000.00000000,155696.82160307,1.31946459,0.06717271,0.07978930,0.59648127,0.12166773,0.82654242,0.30453753,-0.22057286,749,2021,0.21246756,2011,-0.11188944,8492596.81863396,1059.71715712,2.43240772,0.00898065,0.19806691,0.00000000,0.05678674,0.00000000,0.15329243,0.00000000,0.10267191,0.00000000,0.13302712,0.00000000,0.08118861,0.00000000,0.05680231,0.00000000,0.12883571,0.00000000,0.08749057,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top4 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,4,1-3-6-12U,0.00190229,0.00905554,0.00117920,0.00592898,333047.79160092,118000.00000000,215047.79160092,1.82243891,0.09698777,0.09717787,0.89168300,0.11096043,1.26543067,0.66465959,-0.14592096,226,2021,0.23470618,2015,-0.03340772,15247858.01922716,1981.43910593,3.48310808,0.01679186,0.20151744,0.00000000,0.04836000,0.00000000,0.15751304,0.00000000,0.11486877,0.00000000,0.13185234,0.00000000,0.06545220,0.00000000,0.07944279,0.00000000,0.10469513,0.00000000,0.09435874,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top4 13612W can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,4,13612W,0.00194520,0.01278020,0.00127020,0.00601431,227916.46087174,118000.00000000,109916.46087174,0.93149543,0.06950206,0.06325036,0.64873553,0.11378465,0.92718114,0.33364751,-0.20830984,1515,2009,0.31637690,2024,-0.07045910,21638541.45368359,2772.38389829,5.87097986,0.02349478,0.25901777,0.00000000,0.05296143,0.00000000,0.14260210,0.00000000,0.10336002,0.00000000,0.11338069,0.00000000,0.06200269,0.00000000,0.08748935,0.00000000,0.08742022,0.00000000,0.08975710,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top4 12M can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,4,12M,0.00220617,0.00795487,0.00137440,0.00592898,274467.11948206,118000.00000000,156467.11948206,1.32599254,0.06895824,0.08004065,0.62920321,0.11715079,0.86743788,0.34434340,-0.20026007,677,2026,0.19608693,2011,-0.07939782,7599742.89596239,975.19960914,2.19551837,0.00826440,0.19921147,0.00000000,0.04949101,0.00000000,0.16789091,0.00000000,0.10104847,0.00000000,0.14199397,0.00000000,0.06314853,0.00000000,0.07021649,0.00000000,0.10925653,0.00000000,0.09551270,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top5 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,1-3-6-12U,0.00231451,0.01074192,0.00126322,0.00476232,315611.70560541,118000.00000000,197611.70560541,1.67467547,0.09072426,0.09244517,0.86748224,0.10692994,1.23359977,0.62684664,-0.14473118,256,2021,0.21217491,2015,-0.01107137,12460754.54943069,1579.49578492,3.02984646,0.01338556,0.20359273,0.00000000,0.05617480,0.00000000,0.16834272,0.00000000,0.11113942,0.00000000,0.12364094,0.00000000,0.06144679,0.00000000,0.08837552,0.00000000,0.09566585,0.00000000,0.08927305,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top5 13612W can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,13612W,0.00217487,0.01020923,0.00126624,0.00661798,227391.00085696,118000.00000000,109391.00085696,0.92704238,0.06788523,0.06303953,0.66964127,0.10682215,0.95587893,0.42697934,-0.15898950,871,2009,0.31135676,2022,-0.04631504,19841709.15014109,2501.35152981,5.51752167,0.02119789,0.26246223,0.00000000,0.05984714,0.00000000,0.16100504,0.00000000,0.09362904,0.00000000,0.10716173,0.00000000,0.06150509,0.00000000,0.08654199,0.00000000,0.08462061,0.00000000,0.08099285,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top5 12M can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,12M,0.00262452,0.00903120,0.00147722,0.00461000,245890.77814741,118000.00000000,127890.77814741,1.08382015,0.06276840,0.07015108,0.60558818,0.11094720,0.82671796,0.29191242,-0.21502478,454,2026,0.20795748,2011,-0.06059879,7056533.80841753,907.04332521,2.15283516,0.00768681,0.20266464,0.00000000,0.05248023,0.00000000,0.19132355,0.00000000,0.09363703,0.00000000,0.12800657,0.00000000,0.06239061,0.00000000,0.08009091,0.00000000,0.09562899,0.00000000,0.09112997,0.00000000
SPY12.5/IWM12.5/VEA12.5/VWO12.5/VNQ12.5/DBC12.5/IEF12.5/TLT12.5,full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00500791,0.02246354,0.00182037,0.00681234,245279.67996113,118000.00000000,127279.67996113,1.07864136,0.06029386,0.06992585,0.48824154,0.14041450,0.68096041,0.15101336,-0.39926173,770,2009,0.20610474,2008,-0.23649354,521966.45597873,80.83338572,0.14885643,0.00068503,,,0.12480454,0.12310299,0.12419222,0.11818766,0.12415838,0.12060417,0.12351824,0.11962648,0.12423057,0.11842295,0.12473116,0.12277925,0.12464728,0.12234621,0.12470724,0.12265592
