label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,params.canary,params.fallback,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.IEF.avg,exposure.IEF.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,best(BIL+IEF),0.00104362,0.00480500,0.00106425,0.00480711,471396.71574481,118500.00000000,352896.71574481,2.97803136,0.11584134,0.12634153,0.97747363,0.11973015,1.37549969,0.58139379,-0.19924765,690,2021,0.28453732,2011,-0.00697273,14006492.91837977,1201.64331210,2.63552927,0.01014045,0.20634473,0.00000000,0.14654563,0.00000000,0.64604539,0.00000000
ROT SPY top1 1-3-6-12U can TIP/1 fb IEF,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,IEF,0.00108982,0.00480500,0.00110818,0.00480711,452328.09548151,118500.00000000,333828.09548151,2.81711473,0.11433504,0.12281625,0.93088304,0.12495443,1.31183800,0.57437740,-0.19905909,690,2021,0.28453302,2022,-0.11520264,13283564.05378550,1128.82600609,2.49801182,0.00952596,,,0.35288026,0.00000000,0.64601156,0.00000000
ROT SPY top1 1-3-6-12U fb best(BIL+IEF),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,best(BIL+IEF),0.00113558,0.00480500,0.00114732,0.00480711,452247.75169056,118500.00000000,333747.75169056,2.81643672,0.11457941,0.12280107,0.87653569,0.13434717,1.22311999,0.55032962,-0.20820142,483,2013,0.31877119,2022,-0.12002133,6335652.61788333,537.60443749,1.26016760,0.00453675,0.05961381,0.00000000,0.10987422,0.00000000,0.82936464,0.00000000
ROT SPY top1 1-3-6-12U fb IEF,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,IEF,0.00124924,0.00480500,0.00126098,0.00480711,459118.02873195,118500.00000000,340618.02873195,2.87441374,0.11599918,0.12408929,0.87300583,0.13672005,1.22090484,0.54712147,-0.21201724,715,2013,0.31847259,2022,-0.17893006,6366516.96770787,540.27137497,1.25671305,0.00455925,,,0.16949013,0.00000000,0.82924889,0.00000000
ROT SPY top1 13612W can TIP/1 fb best(BIL+IEF),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,best(BIL+IEF),0.00100797,0.00487517,0.00104059,0.00497257,302554.96450497,118500.00000000,184054.96450497,1.55320645,0.09154335,0.08793889,0.85733696,0.10937478,1.20985171,0.58975320,-0.15522315,664,2020,0.24470025,2022,-0.08265127,20180913.98445630,1736.10414906,4.32123267,0.01465067,0.26590652,0.00000000,0.16493804,0.00000000,0.56811486,0.00000000
ROT SPY top1 13612W can TIP/1 fb IEF,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,IEF,0.00096356,0.00480500,0.00099121,0.00480711,280439.52888524,118500.00000000,161939.52888524,1.36657830,0.09059845,0.08122059,0.80563414,0.11628371,1.14012145,0.39859018,-0.22729726,1135,2020,0.24447093,2022,-0.18332398,18527265.06535493,1574.80121337,4.00963835,0.01328946,,,0.43082796,0.00000000,0.56818082,0.00000000
ROT SPY top1 13612W fb best(BIL+IEF),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,best(BIL+IEF),0.00106173,0.00487517,0.00108212,0.00497257,315804.74910674,118500.00000000,197304.74910674,1.66501898,0.09801964,0.09171096,0.79001234,0.12919774,1.10903906,0.44463163,-0.22045134,1008,2013,0.31894139,2022,-0.17321630,12863258.82049534,1093.33672535,2.83592273,0.00922647,0.08709600,0.00000000,0.12367878,0.00000000,0.78814309,0.00000000
ROT SPY top1 13612W fb IEF,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,IEF,0.00116016,0.00480500,0.00117966,0.00480711,309916.50676329,118500.00000000,191416.50676329,1.61532917,0.09946137,0.09005641,0.78431194,0.13233655,1.10357099,0.35292257,-0.28182207,1015,2013,0.31865865,2022,-0.24187536,12592196.01837163,1069.61788592,2.80487831,0.00902631,,,0.21075776,0.00000000,0.78806258,0.00000000
ROT SPY top1 12M can TIP/1 fb best(BIL+IEF),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,best(BIL+IEF),0.00104525,0.00480500,0.00105642,0.00480711,390412.77813726,118500.00000000,271912.77813726,2.29462260,0.10753072,0.11017268,0.79064458,0.14230326,1.10655792,0.31843116,-0.33768906,323,2021,0.28442892,2022,-0.11990988,6985404.88269725,599.37704913,1.45592789,0.00505803,0.19717924,0.00000000,0.13735844,0.00000000,0.66440591,0.00000000
ROT SPY top1 12M can TIP/1 fb IEF,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,IEF,0.00102890,0.00480500,0.00103916,0.00480711,384369.27559543,118500.00000000,265869.27559543,2.24362258,0.10706148,0.10882512,0.76966601,0.14639762,1.07910017,0.31718875,-0.33753239,323,2021,0.28458468,2022,-0.17903928,6658583.61043218,565.61237306,1.36827466,0.00477310,,,0.33454701,0.00000000,0.66441383,0.00000000
